titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Chalet adosado en venta en Mont Ferrant - Sant Joan,525000,carrer mas vaixeller,41.67847922230874,2.779174254327162,120,3,3,2024.0,1,0,1,0,0,0,0,0,1,0,2025-03-13,3,3,27,0,0,0,0,0,1,0,0,1,0,0,0,4375.0,1.0,2,Mont Ferrant - Sant Joan
Casa o chalet independiente en venta en camino de Sant Pere del Bosc,549000,carrer camino de sant pere del bosc,41.691889674036815,2.795310049968309,146,5,3,1971.0,1,0,1,0,1,0,0,0,1,0,2024-12-02,12,0,128,0,0,0,0,0,0,0,1,1,0,0,0,3760.27397260274,1.6666666666666667,3,Urbanitzacions
Piso en venta en Centre,211600,carrer ample,41.67454693196272,2.791958077322335,93,1,2,1986.0,0,0,0,0,0,0,0,1,1,0,2025-04-02,4,2,7,0,1,0,0,0,0,0,0,0,0,0,1,2275.2688172043013,0.5,0,Centre
Piso en venta en Els Pins,298000,carrer vila de paris,41.66407367300141,2.783408558724116,100,3,2,1978.0,1,0,0,1,0,1,0,0,1,0,2025-04-01,4,1,8,0,0,0,1,0,0,0,0,0,0,0,1,2980.0,1.5,3,Els Pins
Casa o chalet independiente en venta en Semicentre,850000,"carrer anselm clavé,62",41.677296,2.7873864,450,5,5,1986.0,1,0,1,0,1,1,0,0,1,0,2025-03-28,3,4,12,0,0,0,0,0,0,1,0,1,0,0,0,1888.888888888889,1.0,4,Semicentre
Piso en venta en La Plantera,121000,carrer béjar,41.66839367930616,2.775473038042611,56,1,1,1990.0,0,0,1,1,0,0,1,0,1,0,2024-09-03,9,1,218,0,0,0,0,1,0,0,0,0,0,0,1,2160.714285714286,1.0,3,La Plantera
Piso en venta en avenida de l'Estació,188500,avinguda de l'estació,41.67691352648667,2.7798191673324197,95,4,3,2000.0,0,0,0,1,0,0,0,1,1,0,2025-03-29,3,5,11,0,0,0,0,0,0,1,0,0,0,0,1,1984.2105263157894,1.3333333333333333,1,Semicentre
Piso en venta en La Plantera,93000,carrer béjar,41.66839367930616,2.775473038042611,55,1,1,1986.0,0,0,0,0,0,0,0,1,1,0,2025-04-02,4,2,7,0,0,0,0,1,0,0,0,0,0,0,1,1690.909090909091,1.0,0,La Plantera
Casa o chalet independiente en venta en Semicentre,850000,"carrer anselm clavé,62",41.677296,2.7873864,450,5,5,1986.0,1,0,1,0,1,1,0,0,1,0,2025-03-28,3,4,12,0,0,0,0,0,0,1,0,1,0,0,0,1888.888888888889,1.0,4,Semicentre
Chalet adosado en venta en Mont Ferrant - Sant Joan,525000,carrer mas vaixeller,41.67847922230874,2.779174254327162,120,3,3,2024.0,1,0,1,0,0,0,0,0,1,0,2025-03-13,3,3,27,0,0,0,0,0,1,0,0,1,0,0,0,4375.0,1.0,2,Mont Ferrant - Sant Joan
Piso en venta en plaza Medellín,120000,plaça medellín,41.667820573804775,2.7742319982362633,64,2,1,1977.0,1,0,0,1,0,0,1,0,0,0,2025-04-01,4,1,8,0,0,0,0,1,0,0,0,0,0,0,1,1875.0,2.0,3,La Plantera
Piso en venta en La Plantera,121000,carrer béjar,41.66839367930616,2.775473038042611,56,1,1,1990.0,0,0,1,1,0,0,1,0,1,0,2024-09-03,9,1,218,0,0,0,0,1,0,0,0,0,0,0,1,2160.714285714286,1.0,3,La Plantera
Casa o chalet independiente en venta en calle Mirador de la Cala,1200000,carrer mirador de la cala,41.68158738092193,2.809054331191985,299,5,4,1984.0,1,0,1,0,0,0,0,0,1,0,2024-09-01,9,6,220,1,0,0,0,0,0,0,0,1,0,0,0,4013.3779264214045,1.25,2,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1378000,carrer de sant francesc,41.68812440873454,2.8021213149376165,297,5,5,2001.0,1,0,1,0,1,1,1,0,0,0,2025-01-27,1,0,72,1,0,0,0,0,0,0,0,1,0,0,0,4639.73063973064,1.0,5,Cala Sant Francesc - Santa Cristina
Piso en venta en Els Pavos,339000,"carrer provença,4",41.67561905639978,2.781819036155578,134,4,2,1997.0,1,0,1,1,0,1,0,0,1,0,2024-11-07,11,3,153,0,0,1,0,0,0,0,0,0,0,0,1,2529.8507462686566,2.0,4,Els Pavos
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,955000,carrer de sant francesc,41.68812440873454,2.8021213149376165,425,4,4,2002.0,1,0,1,0,1,1,1,0,1,0,2025-03-20,3,3,20,1,0,0,0,0,0,0,0,1,0,0,0,2247.0588235294117,1.0,5,Cala Sant Francesc - Santa Cristina
Piso en venta en Els Pins,170000,carrer vila de paris,41.66407367300141,2.783408558724116,85,4,1,1981.0,0,1,0,1,0,0,1,0,1,0,2024-06-12,6,2,301,0,0,0,1,0,0,0,0,0,0,0,1,2000.0,4.0,3,Els Pins
Piso en venta en Els Pavos,157000,"carrer provença,4",41.67561905639978,2.781819036155578,83,3,2,1986.0,0,0,0,0,0,0,0,1,1,0,2025-04-04,4,4,5,0,0,1,0,0,0,0,0,0,0,0,1,1891.566265060241,1.5,0,Els Pavos
Casa o chalet en venta en calle Cardenal Vidal i Barraquer,900000,carrer cardenal vidal i barraquer,41.68005694702455,2.788394367465156,205,4,2,1989.0,0,0,1,0,0,1,0,0,1,0,2025-03-05,3,2,35,0,0,0,0,0,1,0,0,1,0,0,0,4390.243902439024,2.0,2,Mont Ferrant - Sant Joan
Casa o chalet independiente en venta en calle Cardenal Vidal i Barraquer,900000,carrer cardenal vidal i barraquer,41.68005694702455,2.788394367465156,170,4,2,1986.0,1,0,1,0,1,1,1,0,1,0,2025-04-03,4,3,6,0,0,0,0,0,1,0,0,1,0,0,0,5294.117647058823,2.0,5,Mont Ferrant - Sant Joan
Piso en venta en Els Pins,186000,carrer vila de paris,41.66407367300141,2.783408558724116,54,1,1,2002.0,1,0,0,1,0,1,1,0,1,0,2025-04-07,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3444.4444444444443,1.0,4,Els Pins
Piso en venta en La Plantera,240000,carrer béjar,41.66839367930616,2.775473038042611,116,3,2,1986.0,1,0,1,1,0,0,0,0,1,0,2025-04-01,4,1,8,0,0,0,0,1,0,0,0,0,0,0,1,2068.9655172413795,1.5,3,La Plantera
Piso en venta en La Plantera,150000,carrer béjar,41.66839367930616,2.775473038042611,139,4,1,1986.0,1,0,0,1,0,0,0,0,1,0,2025-04-07,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1079.136690647482,4.0,2,La Plantera
Casa o chalet independiente en venta en Urbanitzacions,691900,carrer urbanitzacions,41.691889674036815,2.795310049968309,349,5,3,1986.0,1,0,1,0,1,1,0,0,1,0,2024-10-06,10,6,185,0,0,0,0,0,0,0,1,1,0,0,0,1982.5214899713467,1.6666666666666667,4,Urbanitzacions
Piso en venta en avenida Vila de Madrid,230000,avinguda vila de madrid,41.65688477128467,2.7789646683159557,87,2,1,1981.0,1,0,1,1,0,1,1,0,1,0,2025-03-10,3,0,30,0,0,0,1,0,0,0,0,0,0,0,1,2643.67816091954,2.0,5,Els Pins
Piso en venta en Centre,160000,carrer ample,41.67454693196272,2.791958077322335,78,3,1,1942.0,0,0,0,1,0,0,0,0,1,0,2025-04-02,4,2,7,0,1,0,0,0,0,0,0,0,0,0,1,2051.2820512820513,3.0,1,Centre
Piso en venta en calle Josep Carner,99000,carrer josep carner,41.66837048986316,2.7776464965773737,86,3,1,1978.0,0,0,0,1,0,0,0,0,1,0,2025-03-23,3,6,17,0,0,0,0,1,0,0,0,0,0,0,1,1151.1627906976744,3.0,1,La Plantera
Dúplex en venta en calle de Cristòfor Colom,294000,carrer de cristòfor colom,41.65915623519233,2.7791701424623447,58,2,2,2001.0,1,0,0,1,0,1,1,0,1,0,2025-01-28,1,1,71,0,0,0,1,0,0,0,0,0,0,0,1,5068.9655172413795,1.0,4,Els Pins
Chalet adosado en venta en calle de Raval,550000,carrer de raval,41.67651690114528,2.7922850047117125,360,5,4,2009.0,0,0,0,0,0,0,0,0,1,0,2025-03-08,3,5,32,0,1,0,0,0,0,0,0,1,0,0,0,1527.7777777777778,1.25,0,Centre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,3100000,carrer de sant francesc,41.68812440873454,2.8021213149376165,505,5,5,2021.0,1,0,1,0,1,1,1,0,1,0,2025-01-09,1,3,90,1,0,0,0,0,0,0,0,1,0,0,0,6138.6138613861385,1.0,5,Cala Sant Francesc - Santa Cristina
