titulo,tipo,precio,zona,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion
Ático en venta en paseo Pau Casals,casa,760000,Centre,passeig pau casals,41.67479652545284,2.794054386901673,145,3,3,1973,True,False,False,True,False,False,True,False,True,False,03-04-2025
Piso en venta en calle Josep Carner,piso,122000,La Plantera,carrer josep carner,41.66837048986316,2.7776464965773737,49,1,1,0,True,False,False,True,False,False,False,False,True,False,04-04-2025
Piso en venta en calle de Cristòfor Colom,piso,264000,Els Pins,carrer de cristòfor colom,41.65915623519233,2.7791701424623447,98,3,2,1971,True,False,False,True,False,False,True,False,True,False,08-01-2025
Piso en venta en Semicentre,piso,207000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,1997,False,True,False,True,False,False,True,False,True,False,08-04-2025
Casa o chalet independiente en venta en calle de la Fragata,casa,2910000,Cala Sant Francesc - Santa Cristina,carrer de la fragata,41.6810060935075,2.806699751971413,658,8,4,0,False,False,False,False,False,True,True,False,True,False,24-02-2025
Casa o chalet independiente en venta en calle de la Cala,casa,1875000,Cala Sant Francesc - Santa Cristina,carrer de la cala,41.680072801197625,2.808561880008474,330,7,4,1988,True,False,True,False,True,True,False,False,True,False,31-03-2025
"Casa o chalet independiente en venta en carretera Tordera, 26",casa,398000,Semicentre,"carretera tordera, 26",41.68467202811999,2.7687823565796603,157,4,3,2025,True,False,False,False,False,False,False,False,True,False,26-03-2025
Casa o chalet independiente en venta en Centre,casa,750000,Centre,carrer ample,41.674546931962716,2.791958077322335,347,6,2,1989,True,False,True,False,True,False,True,False,True,False,08-08-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1200000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,267,4,3,0,False,False,False,False,True,True,False,False,True,False,03-02-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,3300000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,505,5,7,2021,True,False,True,False,True,True,True,False,True,False,02-01-2025
Casa o chalet independiente en venta en Els Pins,casa,435000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,196,3,2,0,True,False,True,False,True,False,False,False,True,False,03-04-2025
"Casa o chalet independiente en venta en carretera Tordera, 26",casa,398000,Semicentre,"carretera tordera, 26",41.68467202811999,2.7687823565796603,158,4,3,2025,True,False,False,False,False,False,False,False,True,False,26-03-2025
Chalet adosado en venta en Els Pins,casa,399000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,190,4,2,1993,True,False,False,False,True,False,False,False,True,False,08-04-2025
Dúplex en venta en Els Pavos,piso,265000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,119,4,3,1982,False,True,False,True,False,False,True,False,True,False,05-04-2025
Ático en venta en rambla de Joaquim Ruyra,piso,159000,Centre,carrer rambla de joaquim ruyra,,,75,2,1,0,True,False,False,True,False,False,True,False,True,False,02-04-2025
Piso en venta en Mont Ferrant - Sant Joan,piso,166000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.67847922230874,2.7791742543271614,90,3,1,1980,False,True,False,True,False,False,False,False,True,False,07-04-2025
Casa o chalet independiente en venta en calle Vidal i Barraquer,casa,900000,Mont Ferrant - Sant Joan,carrer vidal i barraquer,41.676961560029504,2.7984429487905493,300,4,2,0,False,False,False,False,False,True,False,False,True,False,20-11-2024
Chalet adosado en venta en paseo de Santa Bàrbara,casa,599000,Mont Ferrant - Sant Joan,passeig de santa bàrbara,41.681528926410095,2.8014988922998643,173,4,3,1998,True,False,True,False,True,True,True,False,True,False,01-02-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1800000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,570,4,5,0,True,False,True,False,True,True,True,False,True,False,02-01-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,700000,Urbanitzacions,carrer urbanitzacions,,,479,5,3,2005,False,False,True,False,True,True,False,False,True,False,18-02-2025
Casa de pueblo en venta en Centre,casa,525000,Centre,carrer ample,41.674546931962716,2.791958077322335,352,4,3,1973,True,False,False,False,False,False,True,False,True,False,30-01-2025
Piso en venta en calle Josep Carner,piso,99000,La Plantera,carrer josep carner,41.66837048986316,2.7776464965773737,86,3,1,1978,False,True,False,True,False,False,False,False,True,False,18-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1280000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,218,4,2,1978,True,False,True,False,True,True,False,False,True,False,03-02-2025
Casa o chalet independiente en venta en Centre,casa,389000,Centre,carrer ample,41.674546931962716,2.791958077322335,166,7,4,1920,True,False,False,False,False,False,True,False,True,False,04-11-2024
Casa o chalet independiente en venta en Urbanitzacions,casa,800000,Urbanitzacions,carrer urbanitzacions,,,368,4,3,1997,True,False,True,False,True,True,False,False,True,False,20-11-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1100000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,350,3,4,0,True,False,False,False,True,True,True,False,True,False,20-11-2024
Piso en venta en plaza Mèrida,piso,124400,La Plantera,plaça mèrida,41.667966687192084,2.7732642503798903,120,1,1,0,False,False,True,True,False,False,True,False,True,False,19-11-2024
Piso en venta en calle de la Fe,piso,183500,Centre,carrer de la fe,41.67725771213951,2.7864197305069935,83,3,1,1973,False,False,False,True,False,False,False,False,True,False,11-12-2024
Chalet adosado en venta en calle Petit de Raval,casa,650000,Centre,carrer petit de raval,41.676516901145284,2.7922850047117125,321,4,3,0,False,True,True,False,True,False,True,False,True,False,21-12-2024
Piso en venta en calle de Santa Cecília,piso,148000,Semicentre,carrer de santa cecília,41.67898715,2.78643435,60,2,1,1984,True,False,False,True,False,False,True,False,True,False,05-04-2025
Piso en venta en Semicentre,piso,169000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,75,2,1,0,True,False,False,True,False,False,False,False,True,False,13-03-2025
"Piso en venta en calle Pablo Neruda, 8",piso,166000,La Plantera,"carrer pablo neruda, 8",41.667444200000006,2.77508605,90,3,2,1982,False,True,False,True,False,False,False,False,True,False,18-07-2024
Piso en venta en Els Pins,piso,196000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,52,1,1,0,True,False,False,True,False,False,True,False,True,False,05-04-2025
Piso en venta en Semicentre,piso,159000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,123,3,2,1972,False,False,False,True,False,False,False,False,True,False,04-04-2025
"Casa o chalet independiente en venta en calle de la Cala, 37",casa,1500000,Cala Sant Francesc - Santa Cristina,"carrer de la cala, 37",41.680072801197625,2.808561880008474,600,6,6,1999,True,False,True,False,True,True,True,False,True,False,05-04-2025
Piso en venta en Semicentre,piso,127000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,49,1,1,0,True,False,False,True,False,False,False,False,True,False,04-04-2025
Casa o chalet independiente en venta en Centre,casa,400000,Centre,carrer ample,41.674546931962716,2.791958077322335,130,3,2,0,True,False,False,False,False,False,True,False,True,False,17-03-2025
Piso en venta en paseo Bitácora,piso,598000,Cala Sant Francesc - Santa Cristina,passeig bitácora,41.6791319,2.8060196999999993,144,4,2,0,False,False,False,True,False,False,False,False,True,False,08-01-2025
Casa o chalet en venta en calle Mirador de la Cala,casa,885000,Cala Sant Francesc - Santa Cristina,carrer mirador de la cala,41.68158738092193,2.809054331191985,270,4,3,1999,True,False,False,False,False,False,False,False,True,False,13-03-2025
Ático en venta en paseo de s'Abanell,piso,277000,Els Pins,passeig de s'abanell,41.66308080651631,2.7838917772438716,70,3,2,1967,True,False,False,True,False,False,True,False,True,False,26-03-2025
Casa o chalet independiente en venta en calle Mirador de la Cala,casa,1000000,Cala Sant Francesc - Santa Cristina,carrer mirador de la cala,41.68158738092193,2.809054331191985,320,5,4,0,True,False,True,False,True,True,True,False,True,False,04-03-2025
Piso en venta en Centre,piso,177000,Centre,carrer ample,41.674546931962716,2.791958077322335,95,4,1,0,False,True,False,True,False,False,False,False,True,False,03-04-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1600000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,350,4,3,2010,True,False,True,False,True,True,True,False,True,False,13-12-2024
Casa o chalet independiente en venta en Urbanitzacions,casa,790000,Urbanitzacions,carrer urbanitzacions,,,361,4,2,0,True,False,False,False,False,False,False,False,True,False,19-07-2024
Casa o chalet independiente en venta en Centre,casa,870000,Centre,carrer ample,41.674546931962716,2.791958077322335,325,5,3,0,True,False,True,False,True,False,True,False,True,False,24-12-2024
Piso en venta en Centre,piso,169000,Centre,carrer ample,41.674546931962716,2.791958077322335,79,3,1,0,True,False,False,True,False,False,False,False,True,False,25-01-2025
"Casa o chalet en venta en calle de Mas Terrats, 19 -22",casa,2100000,Mont Ferrant - Sant Joan,"carrer de mas terrats, 19 -22",41.67757468505979,2.7943928121177115,450,4,4,0,True,False,True,False,True,False,False,False,True,False,13-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,950000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,370,4,3,1999,True,False,True,False,True,True,True,False,False,False,29-03-2025
Casa o chalet independiente en venta en Centre,casa,850000,Centre,carrer ample,41.674546931962716,2.791958077322335,500,6,2,1990,True,False,True,False,True,False,True,False,True,False,24-12-2024
Casa o chalet independiente en venta en Semicentre,casa,340000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,255,3,1,1975,True,False,False,False,True,False,False,False,True,False,21-02-2025
Piso en venta en Els Pins,piso,249500,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,76,2,1,0,False,True,False,True,False,True,True,False,True,False,28-01-2025
Piso en venta en Centre,piso,228000,Centre,carrer ample,41.674546931962716,2.791958077322335,122,3,2,0,True,False,False,True,False,False,False,False,True,False,24-12-2024
Piso en venta en Els Pins,piso,192000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,87,2,2,1973,False,True,False,True,False,False,False,False,True,False,02-01-2025
Piso en venta en La Plantera,piso,180000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,95,2,1,0,True,False,False,True,False,False,False,False,True,False,18-01-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,525000,Urbanitzacions,carrer urbanitzacions,,,245,5,3,0,False,True,True,False,True,True,True,False,True,False,24-02-2025
Piso en venta en La Plantera,piso,126000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,48,1,1,0,False,False,False,True,False,False,True,False,True,False,24-01-2025
"Casa o chalet en venta en calle de la Cala, 57 -23",casa,1800000,Cala Sant Francesc - Santa Cristina,"carrer de la cala, 57 -23",41.68057478687336,2.8062159481904767,340,4,4,0,False,False,True,False,True,True,False,False,True,False,13-03-2025
Piso en venta en Semicentre,piso,207900,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,1997,False,True,False,True,False,False,True,False,True,False,05-04-2025
Piso en venta en La Plantera,piso,95000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,62,2,1,1977,False,False,False,True,False,False,False,False,True,False,07-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1250000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,455,5,5,1993,True,False,True,False,True,False,False,False,True,False,06-03-2025
Piso en venta en avenida Extremadura,piso,180000,La Plantera,avinguda extremadura,41.66840593875128,2.7768757983649746,97,2,1,1980,False,True,False,True,False,False,True,False,True,False,02-10-2024
